0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on February 15, 2017","AUC as on February 15, 2017","AUC as on February 15, 2017","AUC as on February 15, 2017","AUC as on February 15, 2017","AUC as on February 15, 2017","Net Investment February 01-15, 2017","Net Investment February 01-15, 2017","Net Investment February 01-15, 2017","Net Investment February 01-15, 2017","Net Investment February 01-15, 2017","Net Investment February 01-15, 2017","Net Investment February 16-28, 2017","Net Investment February 16-28, 2017","Net Investment February 16-28, 2017","Net Investment February 16-28, 2017","Net Investment February 16-28, 2017","Net Investment February 16-28, 2017","AUC as on February 28, 2017","AUC as on February 28, 2017","AUC as on February 28, 2017","AUC as on February 28, 2017","AUC as on February 28, 2017","AUC as on February 28, 2017","February 28, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"February 28, 2017"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"February 28, 2017"
1,Automobiles & Auto Components,145165,317,145482,21692,47,21740,-557,0,-557,-83,0,-83,-516,0,-516,-77,0,-77,146279,317,146596,21918,48,21966,"February 28, 2017"
2,Total Financial Services,484008,35615,519623,72327,5322,77649,1109,873,1981,166,130,296,9585,-126,9459,1436,-19,1417,500622,35476,536098,75014,5316,80329,"February 28, 2017"
2a,Banks,231856,3834,235690,34647,573,35220,462,-69,393,69,-10,59,9782,-11,9771,1466,-2,1464,248423,3806,252229,37224,570,37794,"February 28, 2017"
2b,Other Financial Services1,252152,31780,283932,37680,4749,42429,646,941,1588,97,141,237,-197,-116,-312,-29,-17,-47,252199,31670,283869,37790,4745,42535,"February 28, 2017"
3,Capital Goods,118260,847,119108,17672,127,17799,116,0,116,17,0,17,300,0,300,45,0,45,120594,847,121442,18070,127,18197,"February 28, 2017"
4,Chemicals & Petrochemicals,31779,0,31779,4749,0,4749,-187,0,-187,-28,0,-28,-160,0,-160,-24,0,-24,31947,0,31947,4787,0,4787,"February 28, 2017"
5,Coal,13931,0,13931,2082,0,2082,21,0,21,3,0,3,-165,0,-165,-25,0,-25,13844,0,13844,2074,0,2074,"February 28, 2017"
6,Commercial Services & Supplies,5024,200,5224,751,30,781,-23,0,-23,-3,0,-3,44,0,44,7,0,7,5253,200,5453,787,30,817,"February 28, 2017"
7,Construction Materials,49386,649,50035,7380,97,7477,117,0,117,18,0,18,180,0,180,27,0,27,50487,649,51136,7565,97,7662,"February 28, 2017"
8,Consumer Durables,3438,0,3438,514,0,514,16,0,16,2,0,2,-6,0,-6,-1,0,-1,3527,0,3527,529,0,529,"February 28, 2017"
9,Diversified2,3619,0,3619,541,0,541,115,0,115,17,0,17,-9,0,-9,-1,0,-1,3632,0,3632,544,0,544,"February 28, 2017"
10,Diversified Consumer Services,265,0,265,40,0,40,-9,0,-9,-1,0,-1,0,0,0,0,0,0,267,0,267,40,0,40,"February 28, 2017"
11,"Food, Beverages & Tobacco",99096,89,99185,14808,13,14822,47,0,47,7,0,7,-765,0,-765,-115,0,-115,95866,89,95955,14365,13,14378,"February 28, 2017"
12,Forest Materials,1257,0,1257,188,0,188,18,0,18,3,0,3,19,0,19,3,0,3,1350,0,1350,202,0,202,"February 28, 2017"
13,General Industrials,19123,385,19508,2858,58,2915,213,0,213,32,0,32,-662,0,-662,-99,0,-99,18493,385,18878,2771,58,2829,"February 28, 2017"
14,Hardware Technology & Equipment,68,0,68,10,0,10,1,0,1,0,0,0,0,0,0,0,0,0,35,0,35,5,0,5,"February 28, 2017"
15,Healthcare Equipment & Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"February 28, 2017"
16,Healthcare Services,9014,0,9014,1347,0,1347,227,0,227,34,0,34,159,0,159,24,0,24,9548,0,9548,1431,0,1431,"February 28, 2017"
17,"Hotels, Restaurants & Tourism",5704,125,5829,852,19,871,67,0,67,10,0,10,48,0,48,7,0,7,5895,125,6020,883,19,902,"February 28, 2017"
